,id_characteristic,step,voltage_ratio,angle_deg,vk_percent,vkr_percent,vkr_hv_percent,vkr_mv_percent,vkr_lv_percent,vk_hv_percent,vk_mv_percent,vk_lv_percent
0,0,10,1.049230814,0,,,0.202038469,0.151000013,0.169759643,19.50770312,7.0000001,12.62692044
1,0,11,1.036923051,0,,,0.202278839,0.151000013,0.169819736,19.38077652,7.0000001,12.59519014
2,0,12,1.024615407,0,,,0.20251921,0.151000013,0.169879828,19.25385386,7.0000001,12.56346081
3,0,13,1.012307644,0,,,0.202759595,0.151000013,0.169939925,19.12692371,7.0000001,12.53172959
4,0,14,1,0,,,0.202999996,0.151000013,0.170000025,19.00000131,7.0000001,12.50000029
5,0,15,0.987692297,0,,,0.203740375,0.151000013,0.17018512,18.92692004,7.0000001,12.48173115
6,0,16,0.975384593,0,,,0.204480754,0.151000013,0.170370214,18.8538408,7.0000001,12.46346251
7,0,17,0.963076949,0,,,0.205221133,0.151000013,0.170555309,18.78076168,7.0000001,12.44519387
8,0,18,0.950769246,0,,,0.205961527,0.151000013,0.170740408,18.7076846,7.0000001,12.42692574
9,1,1,0.990151525,-1.002313972,,,0.396666721,0.369999989,0.369999993,15.52653181,9.499999316,15.12530373
10,1,2,0.992585003,-0.749875605,,,0.396666739,0.369999989,0.369999996,15.61989434,9.499999316,15.14397671
11,1,3,0.995037675,-0.498676896,,,0.396666721,0.369999989,0.369999993,15.71325949,9.499999316,15.16265016
12,1,4,0.99750942,-0.248718262,,,0.396666739,0.369999989,0.369999996,15.80662726,9.499999316,15.18132407
13,1,5,1,0,,,0.396666774,0.369999989,0.370000003,15.90000215,9.499999316,15.19999936
14,1,6,1.00472033,0.463003337,,,0.396666739,0.369999989,0.369999996,15.76878837,9.499999316,15.17375616
15,1,7,1.00950563,0.921646893,,,0.396666739,0.369999989,0.369999996,15.63757528,9.499999316,15.14751298
16,1,8,1.014354944,1.375934005,,,0.396666739,0.369999989,0.369999996,15.5063629,9.499999316,15.12126983
17,1,9,1.019267559,1.825870156,,,0.396666774,0.369999989,0.370000003,15.37515802,9.499999316,15.09502807
