**index**;**line_name**;**from_bus**;**to_bus**;**length**;**std_type**
0;LV Line1.1;Bus LV0;Bus LV1.1;0,08;NAYY 4x120 SE
1;LV Line1.2;Bus LV1.1;Bus LV1.2;0,08;NAYY 4x120 SE
2;LV Line1.3;Bus LV1.2;Bus LV1.3;0,08;NAYY 4x120 SE
3;LV Line1.4;Bus LV1.3;Bus LV1.4;0,08;NAYY 4x120 SE
4;LV Line1.6;Bus LV1.4;Bus LV1.5;0,08;NAYY 4x120 SE
5;LV Line2.1;Bus LV0;Bus LV2.1;0,12;NAYY 4x120 SE
6;LV Line2.2;Bus LV2.1;Bus LV2.2;0,12;NAYY 4x120 SE
7;LV Line2.3;Bus LV2.2;Bus LV2.3;0,12;15-AL1/3-ST1A 0.4
8;LV Line2.4;Bus LV2.3;Bus LV2.4;0,12;15-AL1/3-ST1A 0.4
9;LV Line2.2.1;Bus LV2.2;Bus LV2.2.1;0,12;15-AL1/3-ST1A 0.4
10;LV Line2.2.2;Bus LV2.2.1;Bus LV2.2.2;0,12;15-AL1/3-ST1A 0.4
