;i0_percent;pfe_kw;shift_degree;sn_kva;tp_max;tp_mid;tp_min;tp_pos;tp_side;tp_st_percent;vector_group;vn_hv_kv;vn_lv_kv;vsc_percent;vscr_percent
0.25 MVA 10/0.4 kV;0.24;0.6;150;250;2;0;-2;0;hv;2.5;Dyn5;10;0.4;4;1.2
0.25 MVA 20/0.4 kV;0.32;0.8;150;250;2;0;-2;0;hv;2.5;Yzn5;20;0.4;6;1.44
0.4 MVA 10/0.4 kV;0.2375;0.95;150;400;2;0;-2;0;hv;2.5;Dyn5;10;0.4;4;1.325
0.4 MVA 20/0.4 kV;0.3375;1.35;150;400;2;0;-2;0;hv;2.5;Dyn5;20;0.4;6;1.425
0.63 MVA 10/0.4 kV;0.1873;1.18;150;630;2;0;-2;0;hv;2.5;Dyn5;10;0.4;4;1.0794
0.63 MVA 20/0.4 kV;0.2619;1.65;150;630;2;0;-2;0;hv;2.5;Dyn5;20;0.4;6;1.206
100 MVA 220/110 kV;0.06;55;0;100000.0;9;0;-9;0;hv;1.5;Yy0;220.0;110.0;12.0;0.26
160 MVA 380/110 kV;0.06;60;0;160000.0;9;0;-9;0;hv;1.5;Yy0;380.0;110.0;12.2;0.25
25 MVA 110/10 kV;0.073;28.51;150;25000;9;0;-9;0;hv;1.5;YNd5;110;10;10.04;0.276
25 MVA 110/20 kV;0.071;29;150;25000;9;0;-9;0;hv;1.5;YNd5;110.0;20.0;11.2;0.282
40 MVA 110/10 kV;0.076;30.45;150;40000;9;0;-9;0;hv;1.5;YNd5;110;10;10.04;0.295
40 MVA 110/20 kV;0.08;31;150;40000;9;0;-9;0;hv;1.5;YNd5;110.0;20.0;11.2;0.302
63 MVA 110/10 kV;0.078;31.51;150;63000;9;0;-9;0;hv;1.5;YNd5;110;10;10.04;0.31
63 MVA 110/20 kV;0.086;33;150;63000;9;0;-9;0;hv;1.5;YNd5;110.0;20.0;11.2;0.322
