index;bus_name;from_bus;to_bus;type;et;closed
0;DB DS0;Double Busbar 2;Bus DB T0;DS;b;True
1;DB DS1;Double Busbar 1;Bus DB T1;DS;b;True
2;DB DS2;Double Busbar 2;Bus DB T3;DS;b;True
3;DB DS3;Double Busbar 1;Bus DB T3;DS;b;False
4;DB DS4;Double Busbar 2;Bus DB T5;DS;b;True
5;DB DS5;Double Busbar 1;Bus DB T5;DS;b;False
6;DB DS6;Double Busbar 2;Bus DB T7;DS;b;True
7;DB DS7;Double Busbar 1;Bus DB T7;DS;b;False
8;DB DS8;Double Busbar 2;Bus DB T9;DS;b;True
9;DB DS9;Double Busbar 1;Bus DB T9;DS;b;False
10;DB DS10;Bus DB T2;Bus DB 1;DS;b;True
11;DB DS11;Bus DB T4;Bus DB 2;DS;b;True
12;DB DS12;Bus DB T6;Bus DB 3;DS;b;True
13;DB DS13;Bus DB T8;Bus DB 4;DS;b;True
14;DB CB0;Bus DB T0;Bus DB T1;CB;b;True
15;DB CB1;Bus DB T3;Bus DB T2;CB;b;True
16;DB CB2;Bus DB T5;Bus DB T4;CB;b;True
17;DB CB3;Bus DB T7;Bus DB T6;CB;b;True
18;DB CB4;Bus DB T9;Bus DB T8;CB;b;True
19;SB DS1.1;Bus SB T1.1;Bus SB 1;DS;b;True
20;SB DS1.2;Single Busbar;Bus SB T1.2;DS;b;True
21;SB DS2.1;Bus SB T2.1;Bus SB 2;DS;b;True
22;SB DS2.2;Single Busbar;Bus SB T2.2;DS;b;True
23;SB DS3.1;Bus SB T3.1;Bus SB 3;DS;b;True
24;SB DS3.2;Single Busbar;Bus SB T3.2;DS;b;True
25;SB DS4.1;Bus SB T4.1;Bus SB 4;DS;b;True
26;SB DS4.2;Single Busbar;Bus SB T4.2;DS;b;True
27;SB DS5.1;Bus SB T5.1;Bus SB 5;DS;b;True
28;SB DS5.2;Single Busbar;Bus SB T5.2;DS;b;True
29;SB CB1;Bus SB T1.2;Bus SB T1.1;CB;b;True
30;SB CB2;Bus SB T2.2;Bus SB T2.1;CB;b;True
31;SB CB3;Bus SB T3.2;Bus SB T3.1;CB;b;True
32;SB CB4;Bus SB T4.2;Bus SB T4.1;CB;b;True
33;SB CB5;Bus SB T5.2;Bus SB T5.1;CB;b;True
